Date	Price
01/10/2014	32.78
01/10/2014	32.51
01/10/2014	32.01
01/10/2014	31.58
01/10/2014	32.13
01/10/2014	33.16
01/10/2014	33.44
01/10/2014	34.38
01/10/2014	34.55
01/10/2014	34.39
01/10/2014	34.11
01/10/2014	33.65
01/10/2014	33.46
01/10/2014	33.42
01/10/2014	33.59
01/10/2014	33.37
01/10/2014	33.38
01/10/2014	33.34
01/10/2014	33.29
01/10/2014	33.40
01/10/2014	33.41
01/10/2014	33.24
01/10/2014	33.22
01/10/2014	33.18
02/10/2014	32.56
02/10/2014	32.04
02/10/2014	31.70
02/10/2014	31.53
02/10/2014	31.70
02/10/2014	32.63
02/10/2014	32.83
02/10/2014	33.49
02/10/2014	33.98
02/10/2014	33.68
02/10/2014	33.45
02/10/2014	33.08
02/10/2014	32.97
02/10/2014	32.91
02/10/2014	32.80
02/10/2014	32.70
02/10/2014	32.67
02/10/2014	32.76
02/10/2014	32.77
02/10/2014	32.88
02/10/2014	32.89
02/10/2014	32.73
02/10/2014	32.71
02/10/2014	32.76
03/10/2014	32.23
03/10/2014	31.83
03/10/2014	31.51
03/10/2014	31.44
03/10/2014	31.63
03/10/2014	32.36
03/10/2014	32.52
03/10/2014	32.94
03/10/2014	33.28
03/10/2014	32.96
03/10/2014	33.04
03/10/2014	32.79
03/10/2014	32.70
03/10/2014	32.60
03/10/2014	32.57
03/10/2014	32.56
03/10/2014	32.48
03/10/2014	32.45
03/10/2014	32.55
03/10/2014	32.62
03/10/2014	32.53
03/10/2014	32.40
03/10/2014	32.15
03/10/2014	31.73
04/10/2014	31.20
04/10/2014	30.68
04/10/2014	30.21
04/10/2014	30.04
04/10/2014	30.13
04/10/2014	30.60
04/10/2014	30.83
04/10/2014	32.23
04/10/2014	32.65
04/10/2014	32.86
04/10/2014	32.80
04/10/2014	32.44
04/10/2014	32.06
04/10/2014	31.94
04/10/2014	31.89
04/10/2014	31.91
04/10/2014	32.25
04/10/2014	32.64
04/10/2014	32.87
04/10/2014	32.96
04/10/2014	32.86
04/10/2014	32.20
04/10/2014	31.60
04/10/2014	30.82
05/10/2014	30.26
05/10/2014	29.25
05/10/2014	28.72
05/10/2014	28.24
05/10/2014	28.34
05/10/2014	29.01
05/10/2014	29.88
05/10/2014	30.96
05/10/2014	31.64
05/10/2014	32.46
05/10/2014	33.21
05/10/2014	33.30
05/10/2014	32.81
05/10/2014	32.39
05/10/2014	32.39
05/10/2014	32.25
05/10/2014	32.81
05/10/2014	33.10
05/10/2014	33.16
05/10/2014	33.50
05/10/2014	33.46
05/10/2014	33.31
05/10/2014	33.23
05/10/2014	32.16
06/10/2014	30.73
06/10/2014	29.96
06/10/2014	28.92
06/10/2014	28.08
06/10/2014	29.14
06/10/2014	31.36
06/10/2014	32.36
06/10/2014	32.44
06/10/2014	32.55
06/10/2014	32.48
06/10/2014	32.53
06/10/2014	32.20
06/10/2014	31.87
06/10/2014	31.81
06/10/2014	31.78
06/10/2014	31.73
06/10/2014	31.80
06/10/2014	31.98
06/10/2014	32.08
06/10/2014	32.20
06/10/2014	32.00
06/10/2014	31.70
06/10/2014	31.65
06/10/2014	31.20
07/10/2014	30.59
07/10/2014	29.89
07/10/2014	29.69
07/10/2014	29.82
07/10/2014	30.13
07/10/2014	31.05
07/10/2014	31.73
07/10/2014	32.04
07/10/2014	32.29
07/10/2014	32.17
07/10/2014	32.12
07/10/2014	32.01
07/10/2014	31.95
07/10/2014	31.75
07/10/2014	31.65
07/10/2014	31.64
07/10/2014	31.64
07/10/2014	31.86
07/10/2014	32.19
07/10/2014	32.18
07/10/2014	31.86
07/10/2014	31.50
07/10/2014	31.39
07/10/2014	30.45
08/10/2014	29.48
08/10/2014	28.11
08/10/2014	27.91
08/10/2014	27.87
08/10/2014	28.63
08/10/2014	30.72
08/10/2014	31.93
08/10/2014	32.47
08/10/2014	32.56
08/10/2014	32.53
08/10/2014	32.47
08/10/2014	32.37
08/10/2014	32.36
08/10/2014	32.33
08/10/2014	32.32
08/10/2014	32.29
08/10/2014	32.30
08/10/2014	32.33
08/10/2014	32.40
08/10/2014	32.52
08/10/2014	32.41
08/10/2014	31.92
08/10/2014	31.59
08/10/2014	30.87
09/10/2014	30.21
09/10/2014	29.88
09/10/2014	29.60
09/10/2014	29.58
09/10/2014	30.21
09/10/2014	30.92
09/10/2014	31.70
09/10/2014	32.36
09/10/2014	32.43
09/10/2014	32.41
09/10/2014	32.39
09/10/2014	32.29
09/10/2014	32.10
09/10/2014	31.90
09/10/2014	32.04
09/10/2014	32.20
09/10/2014	32.59
09/10/2014	32.65
09/10/2014	32.72
09/10/2014	32.92
09/10/2014	32.73
09/10/2014	32.32
09/10/2014	31.78
09/10/2014	30.91
10/10/2014	29.49
10/10/2014	28.25
10/10/2014	27.59
10/10/2014	27.57
10/10/2014	29.26
10/10/2014	30.86
10/10/2014	31.65
10/10/2014	32.14
10/10/2014	32.38
10/10/2014	32.40
10/10/2014	32.37
10/10/2014	32.31
10/10/2014	32.14
10/10/2014	32.02
10/10/2014	31.96
10/10/2014	31.90
10/10/2014	31.95
10/10/2014	32.08
10/10/2014	32.14
10/10/2014	32.21
10/10/2014	32.14
10/10/2014	32.01
10/10/2014	32.03
10/10/2014	31.53
11/10/2014	31.42
11/10/2014	30.86
11/10/2014	30.52
11/10/2014	30.52
11/10/2014	30.72
11/10/2014	31.08
