Date	Open	High	Low	Close	Volume	Adj Close	diff	v_diff	back_1	back_2	back_3	back_4	back_5	back_6	back_7	next_day	next_day_opposite	price_diff_percent	vol_diff_percent	lookback_1	lookback_2	lookback_3	lookback_4	lookback_5	lookback_6	lookback_7
2000-01-03	117.375	118.625	112.0	116.5625	53228400	39.573098	0.0	0.0	0	0	0	0	0	0	0	0	1	0.0	0.0	0	0	0	0	0	0	0
2000-01-04	113.5625	117.125	112.25	112.625	54119000	38.236313	0.03496115427302997	0.016456327722241728	0	0	0	0	0	0	0	1	0	0.03496115427302997	0.016456327722241728	0	0	0	0	0	0	0
2000-01-05	111.125	116.375	109.375	113.8125	64059600	38.63947	0.01043382756727073	0.15517736607784002	1	0	0	0	0	0	0	0	1	0.01043382756727073	0.15517736607784002	1	0	0	0	0	0	0
2000-01-06	112.1875	113.875	108.375	110.0	54976600	37.345121999999996	0.03465909090909091	0.16521574633571373	0	0	0	0	0	0	0	1	0	0.03465909090909091	0.16521574633571373	0	0	0	0	0	0	0
2000-01-07	108.625	112.25	107.3125	111.4375	62013600	37.833155	0.012899607403252944	0.11347510868583666	1	0	0	0	0	0	0	1	0	0.012899607403252944	0.11347510868583666	1	0	0	0	0	0	0
2000-01-10	113.4375	113.6875	111.375	112.25	44963600	38.109	0.007238307349665924	0.3791956160093943	1	1	0	0	0	0	0	0	1	0.007238307349665924	0.3791956160093943	1	1	0	0	0	0	0
2000-01-11	111.5	114.25	108.6875	109.375	46743600	37.132934000000006	0.026285714285714287	0.03808007941194089	0	0	0	0	0	0	0	0	1	0.026285714285714287	0.03808007941194089	0	0	0	0	0	0	0
2000-01-12	108.5	108.875	104.4375	105.8125	66532400	35.923460999999996	0.03366804489072652	0.29743102608653826	0	0	0	0	0	0	0	1	0	0.03366804489072652	0.29743102608653826	0	0	0	0	0	0	0
2000-01-13	104.375	108.625	101.5	107.8125	83144000	36.602464000000005	0.01855072463768116	0.19979312999134033	1	0	0	0	0	0	0	1	0	0.01855072463768116	0.19979312999134033	1	0	0	0	0	0	0
2000-01-14	107.1875	113.9375	105.75	112.25	73416400	38.109	0.03953229398663697	0.13249900567175726	1	1	1	0	1	1	0	1	0	0.03953229398663697	0.13249900567175726	1	1	1	0	1	1	0
2000-01-18	111.8125	116.5	111.75	115.3125	81483600	39.148722	0.026558265582655827	0.09900397135129033	1	1	1	1	1	1	1	0	1	0.026558265582655827	0.09900397135129033	1	1	1	1	1	1	1
2000-01-19	110.5	111.5	106.0	107.0	97568200	36.326619	0.07768691588785047	0.1648549424915085	0	0	0	1	0	0	0	0	1	0.07768691588785047	0.1648549424915085	0	0	0	1	0	0	0
2000-01-20	107.0625	109.6875	105.875	106.0	56349800	35.987118	0.009433962264150943	0.7314737585581492	0	0	0	0	1	0	0	0	1	0.009433962264150943	0.7314737585581492	0	0	0	0	1	0	0
2000-01-21	107.0	107.25	103.25	103.75	68416200	35.223240000000004	0.021686746987951807	0.17636758545490688	0	0	0	0	0	0	0	0	1	0.021686746987951807	0.17636758545490688	0	0	0	0	0	0	0
2000-01-24	103.796799	105.6875	100.8125	101.25	63597600	34.374488	0.024691358024691357	0.07576701007585192	0	0	0	0	0	0	0	1	0	0.024691358024691357	0.07576701007585192	0	0	0	0	0	0	0
2000-01-25	101.0	103.875	99.5625	102.8125	59823200	34.904958	0.015197568389057751	0.06309257946749756	1	0	0	0	0	0	0	0	1	0.015197568389057751	0.06309257946749756	1	0	0	0	0	0	0
2000-01-26	102.4375	103.5	99.125	99.375	49365000	33.737922999999995	0.03459119496855346	0.21185455282082447	0	0	0	0	0	0	0	0	1	0.03459119496855346	0.21185455282082447	0	0	0	0	0	0	0
2000-01-27	99.890602	101.1875	97.25	98.75	63654800	33.525735	0.006329113924050633	0.22448896234062474	0	0	0	0	0	0	0	0	1	0.006329113924050633	0.22448896234062474	0	0	0	0	0	0	0
2000-01-28	98.125	100.25	97.25	98.25	58225400	33.355984	0.005089058524173028	0.09324796394700595	0	0	0	0	0	0	0	0	1	0.005089058524173028	0.09324796394700595	0	0	0	0	0	0	0
2000-01-31	97.625	98.1875	94.875	97.875	73194200	33.228671000000006	0.0038314176245210726	0.20450800746507236	0	0	0	0	0	0	0	1	0	0.0038314176245210726	0.20450800746507236	0	0	0	0	0	0	0
2000-02-01	98.5	103.25	97.6875	102.9375	70196600	34.947396000000005	0.04918032786885246	0.04270292293358938	1	1	1	1	1	1	0	0	1	0.04918032786885246	0.04270292293358938	1	1	1	1	1	1	0
2000-02-02	102.4375	103.9375	100.5	100.8125	49915600	34.225956	0.021078735275883446	0.4063058442651195	0	1	1	1	1	0	0	1	0	0.021078735275883446	0.4063058442651195	0	1	1	1	1	0	0
2000-02-03	102.0625	104.1875	100.125	103.625	49186000	35.180803000000004	0.027141133896260553	0.01483348920424511	1	1	1	1	1	1	1	1	0	0.027141133896260553	0.01483348920424511	1	1	1	1	1	1	1
2000-02-04	104.375	108.0	104.140602	106.5625	55365400	36.178087	0.02756598240469208	0.11161122289372062	1	1	1	1	1	1	1	1	0	0.02756598240469208	0.11161122289372062	1	1	1	1	1	1	1
2000-02-07	106.8125	106.875	104.25	106.625	40005800	36.199306	0.0005861664712778429	0.3839343295222193	1	1	1	1	1	1	1	1	0	0.0005861664712778429	0.3839343295222193	1	1	1	1	1	1	1
2000-02-08	106.4375	110.0	106.4375	109.9375	56229000	37.323904	0.030130756111426946	0.28852015863700226	1	1	1	1	1	1	1	0	1	0.030130756111426946	0.28852015863700226	1	1	1	1	1	1	1
2000-02-09	109.4375	109.4375	103.875	104.0	55090000	35.308116	0.05709134615384615	0.02067525866763478	0	0	0	1	1	1	1	1	0	0.05709134615384615	0.02067525866763478	0	0	0	1	1	1	1
2000-02-10	103.890602	106.5625	102.5	106.0	54527800	35.987118	0.018867924528301886	0.010310337112445394	1	0	0	0	1	1	1	0	1	0.018867924528301886	0.010310337112445394	1	0	0	0	1	1	1
2000-02-11	104.875	104.875	99.125	99.9375	115559000	33.928892	0.060662914321450906	0.5281388727835997	0	0	0	0	0	0	0	0	1	0.060662914321450906	0.5281388727835997	0	0	0	0	0	0	0
